1000MERCIS,1000mercis
FORTIS BANK NV SA,fortisbanknvsa
FORTIS BANQUE LUXEMBOURG SA,fortisbanqueluxembourgsa
FORTIS INVESTMENT MANAGEMENT SA AND SUBSIDIARIES,fortisinvestmentmanagementsaandsubsidiaries
FOUNTAINE PAJOT,fountainepajot
FRANCISCO PARTNERS,franciscopartners
FREELANCE.COM,freelancecom
FREY,frey
FROMAGERIES BEL,fromageriesbel
G7 ENTREPRISES,g7entreprises
GAMELOFT,gameloft
GANTOIS,gantois
GARDEIL,gardeil
GASCOGNE,gascogne
GAUMONT,gaumont
GDF SUEZ,gdfsuez
GECI AVIATION (EX-REIMS AVIATION INDUSTRIES),geciaviationexreimsaviationindustries
GECI INTERNATIONAL,geciinternational
GECIMED,gecimed
GECINA,gecina
GEMALTO,gemalto
GENERAL ELECTRIC,generalelectric
GENERALE DE SANTE,generaledesante
GENERIX GROUP,generixgroup
GENESYS SA,genesyssa
GENFIT,genfit
GENOWAY,genoway
GEODIS,geodis
GEOREX SA,georexsa
GERARD PERRIER,gerardperrier
GEVELOT S.A.,gevelotsa
GFI INFORMATIQUE,gfiinformatique
GIE PSA TRESORERIE,giepsatresorerie
GIFI,gifi
GILBERT DUPONT,gilbertdupont
GIORGIO FEDON & FIGLI S.P.A.,giorgiofedonfiglispa
GL EVENTS,glevents
GL TRADE,gltrade
GLOBAL BIOENERGIES,globalbioenergies
GLOBAL GRAPHICS,globalgraphics
GOLD BULLION SECURITIES LIMITED,goldbullionsecuritieslimited
GOLDMAN SACHS INTERNATIONAL,goldmansachsinternational
GRAINES VOLTZ,grainesvoltz
GRAS SAVOYE & CIE,grassavoyecie
GRENOBLOISE D'ELECTRONIQUE ET D'AUTOMATISMES,grenobloisedelectroniqueetdautomatismes
GROUP DEMOS,groupdemos
GROUPAMA,groupama
GROUPE ARES,groupeares
GROUPE BANQUE POPULAIRE PROVENCALE ET CORSE,groupebanquepopulaireprovencaleetcorse
GROUPE BENETEAU,groupebeneteau
GROUPE BFCM,groupebfcm
GROUPE BROSSARD,groupebrossard
GROUPE CAISSE D'EPARGNE,groupecaissedepargne
GROUPE CIC,groupecic
GROUPE CM5-CIC,groupecm5cic
GROUPE CREDIT COOPERATIF,groupecreditcooperatif
GROUPE CRIT,groupecrit
GROUPE DEMOS,groupedemos
GROUPE DIFFUSION PLUS,groupediffusionplus
GROUPE DLSI,groupedlsi
GROUPE DMS,groupedms
GROUPE EURILOGIC,groupeeurilogic
GROUPE EUROTUNEL SA,groupeeurotunelsa
GROUPE FLO,groupeflo
GROUPE GINGER,groupeginger
GROUPE GIROD,groupegirod
GROUPE GO SPORT,groupegosport
GROUPE GORGE SA,groupegorgesa
GROUPE GUILLIN,groupeguillin
GROUPE HF COMPANY,groupehfcompany
GROUPE JAJ,groupejaj
GROUPE JEMINI,groupejemini
GROUPE LIMAGRAIN HOLDING SA,groupelimagrainholdingsa
GROUPE LIMAGRAIN HOLDING SA,groupelimagrainholdingsa
GROUPE NORBERT DENTRESSANGLE,groupenorbertdentressangle
GROUPE OPEN,groupeopen
GROUPE PARTOUCHE,groupepartouche
GROUPE PROMEO,groupepromeo
GROUPE ROUGIER,grouperougier
GROUPE SCBSM,groupescbsm
GROUPE SECHILIENNE SIDEC,groupesechiliennesidec
GROUPE SILICOMP,groupesilicomp
GROUPE SPOREVER,groupesporever
GROUPE STERIA,groupesteria
GROUPE VIAL,groupevial
GUERBET,guerbet
GUILLEMOT CORPORATION,guillemotcorporation
GUY DEGRENNE,guydegrenne
GUYENNE ET GASCOGNE,guyenneetgascogne
HAMMERSON PLC,hammersonplc
HARVEST,harvest
HAULOTTE GROUP,haulottegroup
HAVAS,havas
HBOS PLC,hbosplc
HERMES INTERNATIONAL,hermesinternational
HEURTEY PETROCHEM,heurteypetrochem
HI-MEDIA,himedia
HIGHCO,highco
HIOLLE INDUSTRIES,hiolleindustries
HITECHPROSS,hitechpross
HOLOGRAM. INDUSTRIES,hologramindustries
HOMSYS GROUP,homsysgroup
HSBC BANK CANADA,hsbcbankcanada
HSBC BANK MALTA PLC,hsbcbankmaltaplc
HSBC BANK PLC,hsbcbankplc
HSBC COVERED BONDS,hsbccoveredbonds
HSBC FRANCE,hsbcfrance
HSBC HOLDINGS PLC,hsbcholdingsplc
HSBC SFH,hsbcsfh
HSBC TRINKAUS & BURKHARDT AG,hsbctrinkausburkhardtag
HUBWOO,hubwoo
